Name of seller,Seller ID,Date,Region,State,Soda brand,Unit Price,Units Sold,Expenses,,,,
Sodapop,1185732,12-10-2022,Northeast,New York,Coca-Cola,$0.65 ,"11,750","$2,597 ",,,,
Sodapop,1185732,12-10-2022,Northeast,New York,Diet Coke,$0.55 ,"10,000",$660 ,,,,
Sodapop,1185732,12-10-2022,Northeast,New York,Sprite,$0.55 ,"9,000",$644 ,,,,
Sodapop,1185732,12-10-2022,Northeast,New York,Fanta,$0.55 ,"8,750",$818 ,,,,
Sodapop,1185732,12-10-2022,Northeast,New York,Powerade,$0.65 ,"8,750","$1,194 ",,,,
Sodapop,1185732,12-10-2022,Northeast,New York,Dasani Water,$0.70 ,"10,000",$980 ,,,,
Sodapop,1185732,11-11-2022,Northeast,New York,Coca-Cola,$0.65 ,"11,500",$374 ,,,,
Sodapop,1185732,11-11-2022,Northeast,New York,Diet Coke,$0.55 ,"9,750",$429 ,,,,
Sodapop,1185732,11-11-2022,Northeast,New York,Sprite,$0.55 ,"9,200",$557 ,,,,
Sodapop,1185732,11-11-2022,Northeast,New York,Fanta,$0.55 ,"9,000",$743 ,,,,
Sodapop,1185732,11-11-2022,Northeast,New York,Powerade,$0.65 ,"8,750","$1,934 ",,,,
Sodapop,1185732,11-11-2022,Northeast,New York,Dasani Water,$0.70 ,"9,750","$2,321 ",,,,
Sodapop,1185732,10-12-2022,Northeast,New York,Coca-Cola,$0.65 ,"12,000","$2,652 ",,,,
Sodapop,1185732,10-12-2022,Northeast,New York,Diet Coke,$0.55 ,"10,000","$2,695 ",,,,
Sodapop,1185732,10-12-2022,Northeast,New York,Sprite,$0.55 ,"9,500",$732 ,,,,
Sodapop,1185732,10-12-2022,Northeast,New York,Fanta,$0.55 ,"9,000",$693 ,,,,
Sodapop,1185732,10-12-2022,Northeast,New York,Powerade,$0.65 ,"9,000",$878 ,,,,
Sodapop,1185732,10-12-2022,Northeast,New York,Dasani Water,$0.70 ,"10,000","$1,680 ",,,,
BevCo,1197831,2-1-2022,South,Texas,Coca-Cola,$0.25 ,"9,000",$428 ,,,,
BevCo,1197831,2-1-2022,South,Texas,Diet Coke,$0.35 ,"9,000","$1,449 ",,,,
BevCo,1197831,2-1-2022,South,Texas,Sprite,$0.35 ,"7,000",$319 ,,,,
BevCo,1197831,2-1-2022,South,Texas,Fanta,$0.35 ,"7,000",$515 ,,,,
BevCo,1197831,2-1-2022,South,Texas,Powerade,$0.40 ,"5,500",$902 ,,,,
BevCo,1197831,2-1-2022,South,Texas,Dasani Water,$0.35 ,"7,000",$441 ,,,,
BevCo,1197831,1-2-2022,South,Texas,Coca-Cola,$0.25 ,"8,500",$170 ,,,,
BevCo,1197831,1-2-2022,South,Texas,Diet Coke,$0.35 ,"8,500",$625 ,,,,
BevCo,1197831,1-2-2022,South,Texas,Sprite,$0.35 ,"6,750",$803 ,,,,
BevCo,1197831,1-2-2022,South,Texas,Fanta,$0.35 ,"6,250",$263 ,,,,
BevCo,1197831,1-2-2022,South,Texas,Powerade,$0.40 ,"5,000",$260 ,,,,
BevCo,1197831,1-2-2022,South,Texas,Dasani Water,$0.35 ,"7,000",$417 ,,,,
BevCo,1197831,3-3-2022,South,Texas,Coca-Cola,$0.30 ,"8,750",$551 ,,,,
BevCo,1197831,3-3-2022,South,Texas,Diet Coke,$0.40 ,"8,750",$490 ,,,,
BevCo,1197831,3-3-2022,South,Texas,Sprite,$0.35 ,"7,000",$123 ,,,,
BevCo,1197831,3-3-2022,South,Texas,Fanta,$0.40 ,"6,000",$192 ,,,,
BevCo,1197831,3-3-2022,South,Texas,Powerade,$0.45 ,"5,000",$248 ,,,,
BevCo,1197831,3-3-2022,South,Texas,Dasani Water,$0.40 ,"6,500",$390 ,,,,
BevCo,1197831,2-4-2022,South,Texas,Coca-Cola,$0.30 ,"9,000",$918 ,,,,
BevCo,1197831,2-4-2022,South,Texas,Diet Coke,$0.40 ,"9,000","$1,224 ",,,,
BevCo,1197831,2-4-2022,South,Texas,Sprite,$0.35 ,"7,250",$863 ,,,,
BevCo,1197831,2-4-2022,South,Texas,Fanta,$0.40 ,"6,250","$1,225 ",,,,
BevCo,1197831,2-4-2022,South,Texas,Powerade,$0.45 ,"5,250",$331 ,,,,
BevCo,1197831,2-4-2022,South,Texas,Dasani Water,$0.40 ,"8,000",$448 ,,,,
BevCo,1197831,2-5-2022,South,Texas,Coca-Cola,$0.30 ,"9,250",$416 ,,,,
BevCo,1197831,2-5-2022,South,Texas,Diet Coke,$0.40 ,"9,250",$888 ,,,,
BevCo,1197831,2-5-2022,South,Texas,Sprite,$0.35 ,"7,750",$515 ,,,,
BevCo,1197831,2-5-2022,South,Texas,Fanta,$0.40 ,"7,000","$1,288 ",,,,
BevCo,1197831,2-5-2022,South,Texas,Powerade,$0.45 ,"6,000",$351 ,,,,
BevCo,1197831,2-5-2022,South,Texas,Dasani Water,$0.40 ,"9,500",$798 ,,,,
BevCo,1197831,1-6-2022,South,Texas,Coca-Cola,$0.40 ,"9,500","$1,558 ",,,,
BevCo,1197831,1-6-2022,South,Texas,Diet Coke,$0.45 ,"9,500",$770 ,,,,
BevCo,1197831,1-6-2022,South,Texas,Sprite,$0.40 ,"8,000",$256 ,,,,
BevCo,1197831,1-6-2022,South,Texas,Fanta,$0.40 ,"7,500",$630 ,,,,
BevCo,1197831,1-6-2022,South,Texas,Powerade,$0.45 ,"6,500",$995 ,,,,
BevCo,1197831,1-6-2022,South,Texas,Dasani Water,$0.50 ,"10,000",$600 ,,,,
BevCo,1197831,3-7-2022,South,Texas,Coca-Cola,$0.40 ,"9,500",$494 ,,,,
BevCo,1197831,3-7-2022,South,Texas,Diet Coke,$0.45 ,"9,500",$727 ,,,,
BevCo,1197831,3-7-2022,South,Texas,Sprite,$0.40 ,"11,000",$924 ,,,,
BevCo,1197831,3-7-2022,South,Texas,Fanta,$0.40 ,"7,000",$392 ,,,,
BevCo,1197831,3-7-2022,South,Texas,Powerade,$0.45 ,"7,000",$158 ,,,,
BevCo,1197831,3-7-2022,South,Texas,Dasani Water,$0.50 ,"9,750",$390 ,,,,
BevCo,1197831,5-8-2022,South,Texas,Coca-Cola,$0.40 ,"9,250",$407 ,,,,
BevCo,1197831,5-8-2022,South,Texas,Diet Coke,$0.45 ,"9,250",$624 ,,,,
BevCo,1197831,5-8-2022,South,Texas,Sprite,$0.40 ,"11,000","$1,496 ",,,,
BevCo,1197831,5-8-2022,South,Texas,Fanta,$0.40 ,"6,500",$884 ,,,,
BevCo,1197831,5-8-2022,South,Texas,Powerade,$0.45 ,"6,500",$995 ,,,,
BevCo,1197831,5-8-2022,South,Texas,Dasani Water,$0.50 ,"9,000","$2,205 ",,,,
BevCo,1197831,2-9-2022,South,Texas,Coca-Cola,$0.45 ,"8,500",$536 ,,,,
BevCo,1197831,2-9-2022,South,Texas,Diet Coke,$0.45 ,"8,500",$536 ,,,,
BevCo,1197831,2-9-2022,South,Texas,Sprite,$0.50 ,"9,000",$675 ,,,,
BevCo,1197831,2-9-2022,South,Texas,Fanta,$0.50 ,"6,250",$750 ,,,,
BevCo,1197831,2-9-2022,South,Texas,Powerade,$0.45 ,"6,250",$534 ,,,,
BevCo,1197831,2-9-2022,South,Texas,Dasani Water,$0.55 ,"8,500","$2,151 ",,,,
BevCo,1197831,1-10-2022,South,Texas,Coca-Cola,$0.45 ,"8,000",$468 ,,,,
BevCo,1197831,1-10-2022,South,Texas,Diet Coke,$0.45 ,"8,000",$756 ,,,,
BevCo,1197831,1-10-2022,South,Texas,Sprite,$0.50 ,"7,500","$1,538 ",,,,
BevCo,1197831,1-10-2022,South,Texas,Fanta,$0.50 ,"6,000",$540 ,,,,
BevCo,1197831,1-10-2022,South,Texas,Powerade,$0.45 ,"5,750",$207 ,,,,
BevCo,1197831,1-10-2022,South,Texas,Dasani Water,$0.55 ,"7,500",$866 ,,,,
BevCo,1197831,2-11-2022,South,Texas,Coca-Cola,$0.45 ,"9,000","$1,377 ",,,,
BevCo,1197831,2-11-2022,South,Texas,Diet Coke,$0.45 ,"9,000",$486 ,,,,
BevCo,1197831,2-11-2022,South,Texas,Sprite,$0.50 ,"8,250",$536 ,,,,
BevCo,1197831,2-11-2022,South,Texas,Fanta,$0.50 ,"6,750",$574 ,,,,
BevCo,1197831,2-11-2022,South,Texas,Powerade,$0.45 ,"6,500",$614 ,,,,
BevCo,1197831,2-11-2022,South,Texas,Dasani Water,$0.55 ,"8,500",$655 ,,,,
BevCo,1197831,1-12-2022,South,Texas,Coca-Cola,$0.45 ,"9,500",$214 ,,,,
BevCo,1197831,1-12-2022,South,Texas,Diet Coke,$0.45 ,"9,500",$342 ,,,,
BevCo,1197831,1-12-2022,South,Texas,Sprite,$0.50 ,"8,500",$468 ,,,,
BevCo,1197831,1-12-2022,South,Texas,Fanta,$0.50 ,"7,000",$525 ,,,,
BevCo,1197831,1-12-2022,South,Texas,Powerade,$0.45 ,"6,500",$995 ,,,,
BevCo,1197831,1-12-2022,South,Texas,Dasani Water,$0.55 ,"9,000","$1,683 ",,,,
FizzySip,1128299,20-1-2022,West,California,Coca-Cola,$0.40 ,"7,750","$1,054 ",,,,
FizzySip,1128299,20-1-2022,West,California,Diet Coke,$0.50 ,"7,750","$1,899 ",,,,
FizzySip,1128299,20-1-2022,West,California,Sprite,$0.50 ,"7,750",$543 ,,,,
FizzySip,1128299,20-1-2022,West,California,Fanta,$0.50 ,"6,250",$438 ,,,,
FizzySip,1128299,20-1-2022,West,California,Powerade,$0.55 ,"5,750",$474 ,,,,
FizzySip,1128299,20-1-2022,West,California,Dasani Water,$0.50 ,"7,750",$930 ,,,,
FizzySip,1128299,20-2-2022,West,California,Coca-Cola,$0.40 ,"8,250",$627 ,,,,
FizzySip,1128299,20-2-2022,West,California,Diet Coke,$0.50 ,"7,250","$1,668 ",,,,
FizzySip,1128299,20-2-2022,West,California,Sprite,$0.50 ,"7,250",$471 ,,,,
FizzySip,1128299,20-2-2022,West,California,Fanta,$0.50 ,"5,750",$604 ,,,,
FizzySip,1128299,20-2-2022,West,California,Powerade,$0.55 ,"5,000","$1,128 ",,,,
FizzySip,1128299,20-2-2022,West,California,Dasani Water,$0.50 ,"7,000",$630 ,,,,
FizzySip,1128299,19-3-2022,West,California,Coca-Cola,$0.50 ,"8,500",$340 ,,,,
FizzySip,1128299,19-3-2022,West,California,Diet Coke,$0.60 ,"7,000","$1,596 ",,,,
FizzySip,1128299,19-3-2022,West,California,Sprite,$0.60 ,"7,000",$882 ,,,,
FizzySip,1128299,19-3-2022,West,California,Fanta,$0.60 ,"6,000","$1,224 ",,,,
FizzySip,1128299,19-3-2022,West,California,Powerade,$0.65 ,"5,000",$390 ,,,,
FizzySip,1128299,19-3-2022,West,California,Dasani Water,$0.60 ,"7,000",$546 ,,,,
FizzySip,1128299,20-4-2022,West,California,Coca-Cola,$0.60 ,"8,750",$893 ,,,,
FizzySip,1128299,20-4-2022,West,California,Diet Coke,$0.65 ,"6,750",$921 ,,,,
FizzySip,1128299,20-4-2022,West,California,Sprite,$0.65 ,"7,250",$660 ,,,,
FizzySip,1128299,20-4-2022,West,California,Fanta,$0.60 ,"6,250",$188 ,,,,
FizzySip,1128299,20-4-2022,West,California,Powerade,$0.65 ,"5,250",$273 ,,,,
FizzySip,1128299,20-4-2022,West,California,Dasani Water,$0.80 ,"7,000",$616 ,,,,
FizzySip,1128299,21-5-2022,West,California,Coca-Cola,$0.60 ,"9,000",$810 ,,,,
FizzySip,1128299,21-5-2022,West,California,Diet Coke,$0.65 ,"7,500","$1,658 ",,,,
FizzySip,1128299,21-5-2022,West,California,Sprite,$0.65 ,"7,500","$1,658 ",,,,
FizzySip,1128299,21-5-2022,West,California,Fanta,$0.60 ,"6,500","$1,326 ",,,,
FizzySip,1128299,21-5-2022,West,California,Powerade,$0.65 ,"5,500","$1,752 ",,,,
FizzySip,1128299,21-5-2022,West,California,Dasani Water,$0.80 ,"7,250",$812 ,,,,
FizzySip,1128299,20-6-2022,West,California,Coca-Cola,$0.60 ,"9,750",$819 ,,,,
FizzySip,1128299,20-6-2022,West,California,Diet Coke,$0.65 ,"8,250",$804 ,,,,
FizzySip,1128299,20-6-2022,West,California,Sprite,$0.65 ,"8,250","$1,287 ",,,,
FizzySip,1128299,20-6-2022,West,California,Fanta,$0.60 ,"7,000",$798 ,,,,
FizzySip,1128299,20-6-2022,West,California,Powerade,$0.65 ,"5,750","$1,719 ",,,,
FizzySip,1128299,20-6-2022,West,California,Dasani Water,$0.80 ,"8,750",$910 ,,,,
FizzySip,1128299,19-7-2022,West,California,Coca-Cola,$0.60 ,"10,250","$1,292 ",,,,
FizzySip,1128299,19-7-2022,West,California,Diet Coke,$0.65 ,"8,750","$2,332 ",,,,
FizzySip,1128299,19-7-2022,West,California,Sprite,$0.65 ,"8,250",$965 ,,,,
FizzySip,1128299,19-7-2022,West,California,Fanta,$0.60 ,"7,250",$348 ,,,,
FizzySip,1128299,19-7-2022,West,California,Powerade,$0.65 ,"7,750","$1,914 ",,,,
FizzySip,1128299,19-7-2022,West,California,Dasani Water,$0.80 ,"7,750","$1,302 ",,,,
FizzySip,1128299,20-8-2022,West,California,Coca-Cola,$0.65 ,"9,750","$2,155 ",,,,
FizzySip,1128299,20-8-2022,West,California,Diet Coke,$0.70 ,"9,250",$777 ,,,,
FizzySip,1128299,20-8-2022,West,California,Sprite,$0.65 ,"8,000",$676 ,,,,
FizzySip,1128299,20-8-2022,West,California,Fanta,$0.65 ,"7,500",$829 ,,,,
FizzySip,1128299,20-8-2022,West,California,Powerade,$0.75 ,"7,500","$1,181 ",,,,
FizzySip,1128299,20-8-2022,West,California,Dasani Water,$0.80 ,"7,250",$812 ,,,,
FizzySip,1128299,21-9-2022,West,California,Coca-Cola,$0.55 ,"9,250",$254 ,,,,
FizzySip,1128299,21-9-2022,West,California,Diet Coke,$0.60 ,"9,250",$444 ,,,,
FizzySip,1128299,21-9-2022,West,California,Sprite,$0.55 ,"7,750",$469 ,,,,
FizzySip,1128299,21-9-2022,West,California,Fanta,$0.55 ,"7,250",$598 ,,,,
FizzySip,1128299,21-9-2022,West,California,Powerade,$0.65 ,"7,250","$1,602 ",,,,
FizzySip,1128299,21-9-2022,West,California,Dasani Water,$0.70 ,"7,750","$1,845 ",,,,
FizzySip,1128299,20-10-2022,West,California,Coca-Cola,$0.55 ,"8,750","$1,636 ",,,,
FizzySip,1128299,20-10-2022,West,California,Diet Coke,$0.60 ,"8,750","$2,573 ",,,,
FizzySip,1128299,20-10-2022,West,California,Sprite,$0.55 ,"7,000",$539 ,,,,
FizzySip,1128299,20-10-2022,West,California,Fanta,$0.55 ,"6,750",$520 ,,,,
FizzySip,1128299,20-10-2022,West,California,Powerade,$0.65 ,"6,500",$634 ,,,,
FizzySip,1128299,20-10-2022,West,California,Dasani Water,$0.70 ,"7,000","$1,176 ",,,,
FizzySip,1128299,20-11-2022,West,California,Coca-Cola,$0.55 ,"8,750",$914 ,,,,
FizzySip,1128299,20-11-2022,West,California,Diet Coke,$0.60 ,"8,750","$2,415 ",,,,
FizzySip,1128299,20-11-2022,West,California,Sprite,$0.55 ,"7,250",$518 ,,,,
FizzySip,1128299,20-11-2022,West,California,Fanta,$0.55 ,"7,000",$809 ,,,,
FizzySip,1128299,20-11-2022,West,California,Powerade,$0.65 ,"6,500","$1,732 ",,,,
FizzySip,1128299,20-11-2022,West,California,Dasani Water,$0.70 ,"7,750",$977 ,,,,
FizzySip,1128299,19-12-2022,West,California,Coca-Cola,$0.55 ,"9,750",$429 ,,,,
FizzySip,1128299,19-12-2022,West,California,Diet Coke,$0.60 ,"9,750","$1,229 ",,,,
FizzySip,1128299,19-12-2022,West,California,Sprite,$0.55 ,"7,750","$1,449 ",,,,
FizzySip,1128299,19-12-2022,West,California,Fanta,$0.55 ,"7,750",$512 ,,,,
FizzySip,1128299,19-12-2022,West,California,Powerade,$0.65 ,"7,000",$592 ,,,,
FizzySip,1128299,19-12-2022,West,California,Dasani Water,$0.70 ,"8,000",$952 ,,,,
DreamCo,1189833,15-1-2022,West,California,Coca-Cola,$0.35 ,"7,000",$515 ,,,,
DreamCo,1189833,15-1-2022,West,California,Diet Coke,$0.45 ,"7,000",$441 ,,,,
DreamCo,1189833,15-1-2022,West,California,Sprite,$0.45 ,"7,000",$158 ,,,,
DreamCo,1189833,15-1-2022,West,California,Fanta,$0.45 ,"5,500",$198 ,,,,
DreamCo,1189833,15-1-2022,West,California,Powerade,$0.50 ,"5,000",$275 ,,,,
DreamCo,1189833,15-1-2022,West,California,Dasani Water,$0.45 ,"7,000",$473 ,,,,
DreamCo,1189833,15-2-2022,West,California,Coca-Cola,$0.35 ,"7,500",$893 ,,,,
DreamCo,1189833,15-2-2022,West,California,Diet Coke,$0.45 ,"6,500",$995 ,,,,
DreamCo,1189833,15-2-2022,West,California,Sprite,$0.45 ,"6,750","$1,033 ",,,,
DreamCo,1189833,15-2-2022,West,California,Fanta,$0.45 ,"5,250","$1,158 ",,,,
DreamCo,1189833,15-2-2022,West,California,Powerade,$0.50 ,"4,500",$315 ,,,,
DreamCo,1189833,15-2-2022,West,California,Dasani Water,$0.45 ,"6,500",$410 ,,,,
DreamCo,1189833,14-3-2022,West,California,Coca-Cola,$0.35 ,"8,000",$420 ,,,,
DreamCo,1189833,14-3-2022,West,California,Diet Coke,$0.45 ,"6,500",$702 ,,,,
DreamCo,1189833,14-3-2022,West,California,Sprite,$0.45 ,"6,500",$556 ,,,,
DreamCo,1189833,14-3-2022,West,California,Fanta,$0.45 ,"5,500","$1,139 ",,,,
DreamCo,1189833,14-3-2022,West,California,Powerade,$0.50 ,"4,250",$276 ,,,,
DreamCo,1189833,14-3-2022,West,California,Dasani Water,$0.45 ,"6,250",$591 ,,,,
DreamCo,1189833,15-4-2022,West,California,Coca-Cola,$0.45 ,"8,000","$1,476 ",,,,
DreamCo,1189833,15-4-2022,West,California,Diet Coke,$0.50 ,"6,000",$540 ,,,,
DreamCo,1189833,15-4-2022,West,California,Sprite,$0.50 ,"6,250",$250 ,,,,
DreamCo,1189833,15-4-2022,West,California,Fanta,$0.45 ,"5,250",$496 ,,,,
DreamCo,1189833,15-4-2022,West,California,Powerade,$0.50 ,"4,250",$723 ,,,,
DreamCo,1189833,15-4-2022,West,California,Dasani Water,$0.65 ,"6,000",$468 ,,,,
DreamCo,1189833,16-5-2022,West,California,Coca-Cola,$0.45 ,"8,000",$468 ,,,,
DreamCo,1189833,16-5-2022,West,California,Diet Coke,$0.50 ,"6,500",$553 ,,,,
DreamCo,1189833,16-5-2022,West,California,Sprite,$0.50 ,"6,500",$683 ,,,,
DreamCo,1189833,16-5-2022,West,California,Fanta,$0.45 ,"5,500",$347 ,,,,
DreamCo,1189833,16-5-2022,West,California,Powerade,$0.50 ,"4,500",$113 ,,,,
DreamCo,1189833,16-5-2022,West,California,Dasani Water,$0.65 ,"6,250",$325 ,,,,
DreamCo,1189833,15-6-2022,West,California,Coca-Cola,$0.45 ,"9,000",$446 ,,,,
DreamCo,1189833,15-6-2022,West,California,Diet Coke,$0.50 ,"7,500",$563 ,,,,
DreamCo,1189833,15-6-2022,West,California,Sprite,$0.50 ,"7,500","$1,275 ",,,,
DreamCo,1189833,15-6-2022,West,California,Fanta,$0.45 ,"6,250",$956 ,,,,
DreamCo,1189833,15-6-2022,West,California,Powerade,$0.50 ,"5,000",$850 ,,,,
DreamCo,1189833,15-6-2022,West,California,Dasani Water,$0.65 ,"8,000","$2,548 ",,,,
DreamCo,1189833,14-7-2022,West,California,Coca-Cola,$0.45 ,"9,500",$599 ,,,,
DreamCo,1189833,14-7-2022,West,California,Diet Coke,$0.50 ,"8,000",$560 ,,,,
DreamCo,1189833,14-7-2022,West,California,Sprite,$0.50 ,"7,500",$563 ,,,,
DreamCo,1189833,14-7-2022,West,California,Fanta,$0.45 ,"6,500",$702 ,,,,
DreamCo,1189833,14-7-2022,West,California,Powerade,$0.50 ,"7,000",$665 ,,,,
DreamCo,1189833,14-7-2022,West,California,Dasani Water,$0.65 ,"7,000","$2,093 ",,,,
DreamCo,1189833,15-8-2022,West,California,Coca-Cola,$0.50 ,"9,000",$585 ,,,,
DreamCo,1189833,15-8-2022,West,California,Diet Coke,$0.55 ,"8,500",$982 ,,,,
DreamCo,1189833,15-8-2022,West,California,Sprite,$0.50 ,"7,250","$1,486 ",,,,
DreamCo,1189833,15-8-2022,West,California,Fanta,$0.50 ,"6,750",$608 ,,,,
DreamCo,1189833,15-8-2022,West,California,Powerade,$0.60 ,"6,750",$324 ,,,,
DreamCo,1189833,15-8-2022,West,California,Dasani Water,$0.65 ,"6,500",$887 ,,,,
DreamCo,1189833,16-9-2022,West,California,Coca-Cola,$0.50 ,"8,500","$1,445 ",,,,
DreamCo,1189833,16-9-2022,West,California,Diet Coke,$0.55 ,"8,500",$561 ,,,,
DreamCo,1189833,16-9-2022,West,California,Sprite,$0.50 ,"7,000",$455 ,,,,
DreamCo,1189833,16-9-2022,West,California,Fanta,$0.50 ,"6,500",$553 ,,,,
DreamCo,1189833,16-9-2022,West,California,Powerade,$0.60 ,"6,500",$819 ,,,,
DreamCo,1189833,16-9-2022,West,California,Dasani Water,$0.65 ,"7,000",$637 ,,,,
DreamCo,1189833,15-10-2022,West,California,Coca-Cola,$0.50 ,"8,000",$200 ,,,,
DreamCo,1189833,15-10-2022,West,California,Diet Coke,$0.55 ,"8,000",$352 ,,,,
DreamCo,1189833,15-10-2022,West,California,Sprite,$0.50 ,"6,500",$358 ,,,,
DreamCo,1189833,15-10-2022,West,California,Fanta,$0.50 ,"6,250",$469 ,,,,
DreamCo,1189833,15-10-2022,West,California,Powerade,$0.60 ,"6,000","$1,224 ",,,,
DreamCo,1189833,15-10-2022,West,California,Dasani Water,$0.65 ,"6,500","$1,437 ",,,,
DreamCo,1189833,15-11-2022,West,California,Coca-Cola,$0.50 ,"8,250","$1,403 ",,,,
